,item_id,lat,lon,destination_search_unit_type,reason,routable_point,feature_type,RP,finish_tag,trip_type,difference_meters,tag_group,destination_search_result_point_lat,destination_search_result_point_lon,issue,related_nav_feedbacks,search_events_count,difference_from_reroute,destination_search_result_point_accuracy_type,original_estimated_duration,real_duration,gps_trace_duration,reroute_count,destination_search_result_point_rang,end_location_deviation_angle,routable_point_to_search_road_distance,distance_to_reach_destination_by_road,RP_distance>50m,possible_bad_backdoor,Auto_triage_good,not_coordinate,possible_backdoor
reroute_count,-0.02179895093032215,-0.028770303836359895,-0.013061160688354813,-0.02951565798536835,0.07410249280895717,0.027137260326005518,-0.09521369128730651,0.026230334144478763,-0.11144071412071839,-0.1184686050362677,-0.016744189912660787,0.13557291230734164,-0.0287806497679011,-0.013095143664742962,-0.038443439511575916,-0.003318321200538553,0.018203455317105655,-0.017346465272209507,-0.02920385156189876,-0.16985645053983514,-0.17820289973078712,0.04708602032032594,1.0,0.053322911695300734,0.05455179151529629,-0.020803567724647924,-0.01421190326688099,0.029475343471342026,-0.016092347565783698,-0.0735333100505404,0.4478176900271511,0.026956482785566827
destination_search_result_point_rang,0.018551308293622056,-0.04669355202485337,-0.0526374070399145,-0.15351797167215545,0.046202208942302175,0.044809486496276724,-0.14479873482261804,0.004238922009162787,-0.04387205382915543,-0.02357166072636458,-0.006019708602718271,0.027570659663402115,-0.04661561978993052,-0.05267711144334948,-0.007496879128580376,-0.0029281169026855714,0.09162467039916884,-0.005270387759061352,-0.17574691772328419,-0.03531844688604481,-0.07208958081397725,-0.05825413439620588,0.053322911695300734,1.0,0.012610552869277165,-0.01800729211688158,-0.020559110398938183,0.023149939162458496,-0.0002908331173686565,-0.10132897824465495,0.026927296077799322,0.0037374575890314764
end_location_deviation_angle,-0.027117257036721604,0.024840521675403047,-0.013377733850940985,0.02280626227066533,0.07129936641042138,0.11192144983694492,-0.24156913250089462,0.13698367944825401,-0.20477819918082485,-0.27417155001526883,0.13704661565590434,0.11621587682622733,0.024828947248564263,-0.013395571137213989,-0.0387957110464159,-0.018824438500384053,-0.030653675259008157,0.14148878288254477,-0.025996588900618664,0.031025795512178014,-0.04601029409464803,-0.0975562220998469,0.05455179151529629,0.012610552869277165,1.0,0.009384594790031375,0.16248543330012913,-0.07107911780858873,0.49187030894105116,-0.16585717771643163,-0.025921491223080538,0.13724829705757086
routable_point_to_search_road_distance,-0.0004918044663353065,0.03316254302408417,0.0459551730924222,-0.09915324080012962,0.0023597514347040187,0.01155172701617388,-0.03381410112326627,-0.008615358445454833,-0.04977282261856412,-0.011587041683157525,-0.00239614562179837,-0.008268556315765967,0.03313047107199579,0.045977676071389334,0.006422661462358297,-0.0018646739150667967,-0.013499735751135366,-0.0026267722647221495,-0.025964543155910118,0.018987175750855765,0.01293589448459706,-0.02670432737548544,-0.020803567724647924,-0.01800729211688158,0.009384594790031375,1.0,0.007380774768611072,0.21727343874833896,0.011082015422306107,-0.0180800574684996,-0.025772763644416333,-0.007750883764666693
distance_to_reach_destination_by_road,0.041124008900633356,-0.06829708893652826,-0.04903565127179387,0.06160987641662766,-0.1024618074001588,-0.0913477261450794,-0.46867497620828397,-0.09791753804866206,-0.30825844984237827,-0.4886484721634207,0.9894568684444425,-0.12690782279084756,-0.0689382869658534,-0.048634695791421365,-0.06997495528003017,-0.007858848768619493,0.002727551010282486,0.9868931087873621,-0.04528006370752827,0.14786129800276565,-0.17075912865126158,-0.4048147490357848,-0.01421190326688099,-0.020559110398938183,0.16248543330012913,0.007380774768611072,1.0,0.035395791593019525,-0.18981259644593795,-0.08315054133268794,-0.1833589906606162,-0.09810248329048342
RP_distance>50m,0.003964277651274952,-0.02326373125798157,-0.048315716124154,0.04781024684364873,0.018673990051118652,0.05597533962533241,-0.06552079986689234,0.04265063521676531,-0.0683454927556001,-0.030312236359317922,0.034962756361094714,0.020089381228291035,-0.023324798223316068,-0.04830322767430535,-0.01815139191573359,-0.00496323458648227,-0.0023565614881782843,0.03386040597750099,-0.01487517087726588,0.010112204059203576,-0.018665860298857247,-0.013310743101722795,0.029475343471342026,0.023149939162458496,-0.07107911780858873,0.21727343874833896,0.035395791593019525,1.0,-0.06548517006661293,-0.03765583982825875,0.022599602703497437,0.04617147925579699
possible_bad_backdoor,-0.05624963933882996,0.027037117290507822,0.00724221500365722,-0.04750384676551051,0.1899084359308309,0.2148699428767068,0.26630816849316036,0.25053171026700816,0.17388031654176664,0.31393144166068626,-0.1770665782056943,0.2588527324289929,0.027119000000774957,0.007210379197466813,0.035739603498644024,-0.014378564555717104,-0.029674808952470974,-0.17536464907692317,0.0028681932262613684,-0.09038310869399034,0.07130708745359093,0.12112083215165904,-0.016092347565783698,-0.0002908331173686565,0.49187030894105116,0.011082015422306107,-0.18981259644593795,-0.06548517006661293,1.0,-0.09350073604630002,0.08700491127640354,0.25101022908594045
Auto_triage_good,0.0016629845139231074,0.0407766384834037,0.0426527222734342,0.16239960416287993,-0.049506971337687264,-0.04896730674086427,0.15333401453700676,-0.047640756134691854,0.19876894119151575,0.12169631329898843,-0.05691886185917432,-0.0613186960939066,0.040791500266493926,0.04263229639491964,0.014810249584186017,0.02080673743134597,0.007153951654001741,-0.05703943171624835,0.28446976866903867,0.0009913924946371522,0.06524372322398198,0.0372670449249758,-0.0735333100505404,-0.10132897824465495,-0.16585717771643163,-0.0180800574684996,-0.08315054133268794,-0.03765583982825875,-0.09350073604630002,1.0,-0.038645276124457874,-0.04768840429506171
not_coordinate,-0.043451029418857944,-0.001490834863729364,0.009540907924942112,-0.015961833226940173,0.10849252900648708,0.07445002913505319,0.1515138185195623,0.081509544182007,0.06553437352655478,0.14934292285456452,-0.16468730522004776,0.16786132911552462,-0.001391595855356628,0.009504786126682969,0.029043934721575154,0.0069973939878785855,0.03227819232834332,-0.1645553605452414,-0.0029994519745549187,-0.5627210757461245,-0.28476119850802223,0.11387618409626761,0.4478176900271511,0.026927296077799322,-0.025921491223080538,-0.025772763644416333,-0.1833589906606162,0.022599602703497437,0.08700491127640354,-0.038645276124457874,1.0,0.08207317154587804
possible_backdoor,-0.026752105069621543,-0.010289823542632174,-0.05243358817873217,-0.08653668954720356,0.47562850524467,0.9344612147322217,0.13111595632657969,0.9981991308287302,0.05588474604550361,0.14526765940948866,-0.0959928869094848,0.7423019035965591,-0.010265511819581073,-0.05247270387264599,-0.007609257688146298,-0.007986665912529499,0.008381279409250781,-0.09553858971159233,-0.003628671073529655,-0.0625793398913968,0.030591511013360922,0.055634390264277675,0.026956482785566827,0.0037374575890314764,0.13724829705757086,-0.007750883764666693,-0.09810248329048342,0.04617147925579699,0.25101022908594045,-0.04768840429506171,0.08207317154587804,1.0
